Region,Accommodation & Room Details,Standard Price Range (KRW),Payment Method,Deduction Amount (KRW),Additional Discount/Support
거제시,더비치펜션_거제커플룸(기준2인외입실불가) / 가족룸(기준2인) / 단체룸(기준4인) / 단체룸(기준8인),"80,000 ~ 670,000",급여 및 포인트,"15,000 ~ 380,000",+ 15 ~ 60
거제시,리베라호텔_거제디럭스트윈(기준2인),"132,000 ~ 285,000",급여 및 포인트,"20,000 ~ 50,000",+ 30 ~ 50
거제시,삼성거제호텔더블(기준2인) / 트윈(기준2인),"220,000 ~ 350,000",급여 및 포인트,"40,000 ~ 60,000",+ 40 ~ 60
거제시,한화리조트_거제 벨버디어디럭스(기준4인외입실불가) / 스위트+오션뷰(기준5인외입실불가) / 스위트+마운틴뷰(기준5인외입실불가),"280,000 ~ 650,000",급여 및 포인트,"50,000 ~ 360,000",+ 50 ~ 60
거제시,호텔 더포라스위츠_거제킹프리미어더블(기준2인) / 패밀리프리미어트윈(기준3인) / 패밀리프리미어오픈온돌(기준3인),"130,000 ~ 380,000",급여 및 포인트,"20,000 ~ 90,000",+ 30 ~ 60
경북 대구 수성구,대구인터불고호텔디럭스트윈(기준2인외입실불가) / 디럭스더블(기준2인외입실불가),"209,000 ~ 320,000",급여 및 포인트,"40,000 ~ 60,000",+ 40 ~ 60
경북 대구 수성구,라온제나 호텔_대구더블(기준2인외입실불가) / 트윈(기준2인),"158,000 ~ 350,000",급여 및 포인트,"35,000 ~ 60,000",+ 35 ~ 60
경북 대구 수성구,수성호텔더블+산(기준2인외입실불가) / 트윈+시티(기준2인),"295,000 ~ 450,000",급여 및 포인트,"50,000 ~ 160,000",+ 50 ~ 60
경주시,경주마우나오션20평(기준4인) / 30평(기준5인),"185,000 ~ 515,000",급여 및 포인트,"35,000 ~ 225,000",+ 35 ~ 60
경주시,경주코오롱호텔더블(기준2인) / 트윈(기준2인) / 온돌방(기준2인),"220,000 ~ 350,000",급여 및 포인트,"40,000 ~ 60,000",+ 40 ~ 60
경주시,더케이호텔_경주온돌방(기준4인외입실불가) / 온돌트윈(기준2인) / 디럭스트윈(기준2인),"134,000 ~ 309,000",급여 및 포인트,"20,000 ~ 60,000",+ 30 ~ 60
경주시,드림센터_경주양실(기준4인외입실불가),"149,000 ~ 350,000",급여 및 포인트,"0 ~ 60,000",+ 10 ~ 60
경주시,라한셀렉트_경주(구 경주현대)디럭스더블(기준2인외입실불가) / 디럭스트윈(기준3인) / 패밀리트윈(기준4인),"275,000 ~ 700,000",급여 및 포인트,"50,000 ~ 410,000",+ 50 ~ 60
경주시,소노캄 경주 (구 대명 소노벨)패밀리(기준4인) / 스위트(기준5인),"189,000 ~ 281,000",현지직불,"189,000 ~ 281,000",
경주시,켄싱턴리조트_경주디럭스(21평/기준4인) / 스튜디오(16평/기준3인) / 주니어스위트(31평/기준6인),"145,000 ~ 400,000",급여 및 포인트,"20,000 ~ 110,000",+ 30 ~ 60
경주시,한화리조트_경주디럭스(기준4인),"250,000 ~ 400,000",급여 및 포인트,"50,000 ~ 110,000",+ 50 ~ 60
경주시,황남관온돌2인(기준2인) / 온돌3인(기준3인) / 스위트온돌(기준3인),"155,000 ~ 410,000",급여 및 포인트,"35,000 ~ 120,000",+ 35 ~ 60
경주시,힐튼호텔_경주디럭스트윈(기준2인) / 디럭스킹(기준2인외입실불가),"380,000 ~ 650,000",급여 및 포인트,"90,000 ~ 360,000",+ 60 ~ 60
구미시,라마다바이윈덤_구미더블(기준2인외입실불가) / 트윈(기준2인외입실불가) / 패밀리트윈(기준2인),"110,000 ~ 280,000",급여 및 포인트,"20,000 ~ 50,000",+ 30 ~ 50
김해시,롯데호텔앤리조트_김해디럭스더블(기준2인외입실불가) / 디럭스트윈(기준2인외입실불가) / 패밀리더블(기준4인외입실불가) / 스위트더블온돌(기준4인) / 스위트트윈온돌(기준4인),"220,000 ~ 800,000",급여 및 포인트,"40,000 ~ 510,000",+ 40 ~ 60
김해시,아이스퀘어호텔_김해패밀리A(기준2인) / 디럭스더블(기준2인외입실불가) / 디럭스트윈(기준2인외입실불가),"162,000 ~ 230,000",급여 및 포인트,"35,000 ~ 40,000",+ 35 ~ 40
남해군,남해스포츠파크호텔디럭스더블(기준2인외입실불가) / 디럭스트윈(기준3인) / 패밀리스위트(기준4인),"140,000 ~ 330,000",급여 및 포인트,"20,000 ~ 60,000",+ 30 ~ 60
남해군,아난티 남해펜트하우스A(기준4인),"660,000 ~ 1,258,000",급여 및 포인트,"370,000 ~ 968,000",+ 60 ~ 60
문경시,패트로호텔 (구 라마다 문경새재)스탠다드더블(기준2인외입실불가) / 디럭스트윈(기준2인외입실불가) / 디럭스패밀리(기준3인외입실불가) / 디럭스트리플(기준3인외입실불가) / 디럭스온돌(기준4인외입실불가),"185,000 ~ 452,100",급여 및 포인트,"35,000 ~ 162,100",+ 35 ~ 60
부산 강서구,신라스테이호텔_서부산더블(기준2인외입실불가) / 트윈(기준2인외입실불가),"148,000 ~ 340,000",급여 및 포인트,"20,000 ~ 60,000",+ 30 ~ 60
부산 기장군,뉴시즈 오시리아 레지던스_기장테라스스위트투룸(기준4인) / 파셜오션테라스스위트투룸(기준4인) / 파셜오션테라스스위트쓰리룸(기준6인) / 오션테라스스위트쓰리룸(기준6인),"360,000 ~ 750,000",급여 및 포인트,"70,000 ~ 460,000",+ 60 ~ 60
부산 기장군,아난티 앳 부산 빌라쥬Cabin Sㅡ오션빌리지뷰 (기준4인외 입실불가) / Cabin Bㅡ포레스트뷰(기준4인외입실불가),"496,000 ~ 1,200,000",급여 및 포인트,"206,000 ~ 910,000",+ 60 ~ 60
부산 기장군,아난티 앳 부산 코브프리미엄 마운틴 킹(기준2인) / 프리미엄 마운틴 트윈(기준2인) / 프리미엄 오션 킹(기준2인) / 프리미엄 오션 트윈(기준2인),"440,000 ~ 1,100,000",급여 및 포인트,"150,000 ~ 810,000",+ 60 ~ 60
부산 기장군,해운대 레스트몬즈오션스위트(기준4인외입실불가),"344,000 ~ 700,000",급여 및 포인트,"60,000 ~ 410,000",+ 60 ~ 60
부산 동구,라마다앙코르_부산역프리미엄더블(기준2인외입실불가) / 프리미엄트윈(기준2인외입실불가) / 스튜디오트리플(기준3인외입실불가),"135,000 ~ 350,000",급여 및 포인트,"20,000 ~ 60,000",+ 30 ~ 60
부산 동구,마티에 하버시티_부산주니어스위트더블+시티뷰(기준2인) / 주니어스위트트윈+시티뷰(기준2인),"250,000 ~ 600,000",급여 및 포인트,"50,000 ~ 310,000",+ 50 ~ 60
부산 동래구,부산농심호텔디럭스트윈(기준2인),"238,000 ~ 310,000",급여 및 포인트,"40,000 ~ 60,000",+ 40 ~ 60
부산 부산진구,롯데호텔_부산더블(기준2인외입실불가) / 트윈(기준2인외입실불가) / 패밀리트윈(기준2인),"293,000 ~ 585,000",급여 및 포인트,"50,000 ~ 295,000",+ 50 ~ 60
부산 서구,윈덤 그랜드_부산디럭스더블(기준2인) / 디럭스트윈(기준2인),"250,000 ~ 500,000",급여 및 포인트,"50,000 ~ 210,000",+ 50 ~ 60
부산 수영구,켄트호텔_광안리더블(기준2인외입실불가) / 트윈(기준2인),"260,000 ~ 430,000",급여 및 포인트,"50,000 ~ 140,000",+ 50 ~ 60
부산 연제구,호텔 HLB_부산이그제큐티브더블(기준2인) / 이그제큐티브트윈(기준2인),"150,000 ~ 370,000",급여 및 포인트,"35,000 ~ 80,000",+ 35 ~ 60
부산 영도구,라발스호텔_부산더블(기준2인) / 더블+바다(기준2인) / 트윈(기준2인) / 트윈+바다(기준2인),"140,000 ~ 385,000",급여 및 포인트,"20,000 ~ 95,000",+ 30 ~ 60
부산 중구,부산크라운하버호텔슈페리어(기준2인) / 디럭스트윈(기준2인),"150,000 ~ 300,000",급여 및 포인트,"35,000 ~ 50,000",+ 35 ~ 50
부산 중구,호텔아벤트리_부산디럭스 더블(기준2인) / 디럭스 트윈(기준2인) / 디럭스 패밀리트윈(기준2인),"140,000 ~ 210,000",급여 및 포인트,"20,000 ~ 40,000",+ 30 ~ 40
부산 해운대구,L7호텔_해운대트윈+타운뷰(기준2인외입실불가) / 퀸+타운뷰(기준2인외입실불가) / 패밀리트윈+타운뷰(기준3인외입실불가),"175,000 ~ 520,000",급여 및 포인트,"35,000 ~ 230,000",+ 35 ~ 60
부산 해운대구,그랜드조선_부산더블(기준2인외입실불가) / 더블+바다(기준2인외입실불가) / 패밀리트윈(기준2인) / 패밀리트윈+바다(기준2인),"400,000 ~ 850,000",급여 및 포인트,"110,000 ~ 560,000",+ 60 ~ 60
부산 해운대구,뉴시즈 레지던스_해운대디럭스더블+시티뷰(기준2인외입실불가) / 로얄스위트+파셜오션(기준4인) / 파노라마스위트(기준6인),"300,000 ~ 1,300,000",급여 및 포인트,"60,000 ~ 1,010,000",+ 60 ~ 60
부산 해운대구,라마다앙코르_해운대슈페리어더블(기준2인외입실불가) / 디럭스트윈(기준2인외입실불가) / 패밀리트윈(기준3인외입실불가),"117,000 ~ 350,000",급여 및 포인트,"20,000 ~ 60,000",+ 30 ~ 60
부산 해운대구,베이몬드호텔_해운대스탠다드킹(기준2인외입실불가) / 디럭스킹+바다(기준2인) / 패밀리킹+바다(기준3인외입실불가),"160,000 ~ 580,000",급여 및 포인트,"35,000 ~ 290,000",+ 35 ~ 60
부산 해운대구,부산 파라다이스호텔더블(기준2인) / 트윈(기준2인) / 더블+바다(기준2인) / 트윈+바다(기준2인) / 온돌방(기준2인),"500,000 ~ 850,000",급여 및 포인트,"210,000 ~ 560,000",+ 60 ~ 60
부산 해운대구,부산 파크하얏트호텔더블(기준2인외입실불가) / 더블+바다(기준2인외입실불가) / 트윈+바다(기준2인외입실불가),"460,000 ~ 980,000",급여 및 포인트,"170,000 ~ 690,000",+ 60 ~ 60
부산 해운대구,부산조선비치호텔더블(기준2인) / 트윈(기준2인) / 온돌방(기준2인) / 더블+바다(기준2인) / 트윈+바다(기준2인) / 온돌방+바다(기준2인),"350,000 ~ 700,000",급여 및 포인트,"60,000 ~ 410,000",+ 60 ~ 60
부산 해운대구,시그니엘_부산그랜드디럭스더블(기준2인) / 프리미어더블(기준2인) / 프리미어트윈(기준2인),"610,000 ~ 1,150,000",급여 및 포인트,"320,000 ~ 860,000",+ 60 ~ 60
부산 해운대구,신라스테이호텔_해운대더블+바다(기준2인) / 더블(기준2인) / 트윈(기준2인) / 트윈+바다(기준2인),"271,000 ~ 600,000",급여 및 포인트,"50,000 ~ 310,000",+ 50 ~ 60
부산 해운대구,엘시티 레지던스 와이컬렉션_해운대슈퍼브오션뷰스위트(기준4인) / 파노라마오션뷰스위트(기준6인),"370,000 ~ 1,800,000",급여 및 포인트,"80,000 ~ 1,510,000",+ 60 ~ 60
부산 해운대구,한화리조트_해운대디럭스(기준4인),"260,000 ~ 440,000",급여 및 포인트,"50,000 ~ 150,000",+ 50 ~ 60
부산 해운대구,해운대썬셋비지니스호텔더블(기준2인) / 트윈(기준2인),"300,000 ~ 500,000",급여 및 포인트,"60,000 ~ 210,000",+ 60 ~ 60
부산 해운대구,해운대팔레드시즈 주니어(기준2인) / 디럭스(기준8인) / 로얄(기준8인),"150,000 ~ 1,370,000",급여 및 포인트,"35,000 ~ 1,080,000",+ 35 ~ 60
사천시,비토섬 신우리조트_사천오션커플룸(기준2인) / 오션패밀리(기준4인),"195,000 ~ 425,000",급여 및 포인트,"35,000 ~ 135,000",+ 35 ~ 60
사천시,아르떼리조트_사천라비움(기준3인),"350,000 ~ 580,000",급여 및 포인트,"60,000 ~ 290,000",+ 60 ~ 60
안동시,리첼호텔_안동더블(기준2인인외입실불가) / 트윈(기준2인외입실불가) / 온돌(기준2인외입실불가),"110,000 ~ 350,000",급여 및 포인트,"20,000 ~ 60,000",+ 30 ~ 60
안동시,스탠포드호텔_안동슈페리어트윈+시티뷰(기준2인외입실불가) / 패밀리트윈+레이크뷰(기준2인) / 슈페리어트윈+레이크뷰(기준2인외입실불가),"200,000 ~ 410,000",급여 및 포인트,"40,000 ~ 120,000",+ 40 ~ 60
영덕군,시포트리조트패밀리A(기준2인) / 패밀리B(기준2인),"380,000 ~ 710,000",급여 및 포인트,"90,000 ~ 420,000",+ 60 ~ 60
영덕군,힐링턴리조트_영덕스탠다드_트윈(기준2인),"130,000 ~ 300,000",급여 및 포인트,"20,000 ~ 50,000",+ 30 ~ 50
울산 남구,롯데호텔_울산더블(기준2인) / 트윈(기준2인),"200,000 ~ 320,000",급여 및 포인트,"40,000 ~ 60,000",+ 40 ~ 60
울산 남구,신라스테이호텔_울산더블(기준2인) / 트윈(기준2인),"150,000 ~ 300,000",급여 및 포인트,"35,000 ~ 50,000",+ 35 ~ 50
울산 동구,타니베이 호텔_울산디럭스더블(기준2인외입실불가) / 디럭스트윈(기준2인) / 패밀리트윈(기준3인),"186,000 ~ 360,000",급여 및 포인트,"35,000 ~ 70,000",+ 35 ~ 60
울산 동구,호텔현대바이라한_울산더블(기준2인) / 트윈(기준2인),"177,000 ~ 350,000",급여 및 포인트,"35,000 ~ 60,000",+ 35 ~ 60
