지역,콘도명,룸타입/평형,최근 1년간 확정금액 (min~max),공제방법,본인부담금 (min~max)
단양군,소노벨 단양 (구 대명 소노문),"패밀리(기준4인), 스위트(기준5인)","137,000 ~ 250,000",현지직불,"137,000 ~ 250,000"
대전 유성구,라마다호텔_대전,"스탠다드트윈(기준2인외입실불가), 헐리우드킹(기준2인외입실불가)","200,000 ~ 285,000",급여 및 포인트,"40,000 ~ 50,000 (+ 40 ~ 50)"
대전 유성구,롯데시티호텔_대전,"더블(기준2인), 트윈(기준2인)","124,000 ~ 339,000",급여 및 포인트,"20,000 ~ 60,000 (+ 30 ~ 60)"
대전 유성구,오노마 대전 오토그래프 컬렉션,"비지니스디럭스더블(기준2인외입실불가), 디럭스트윈(기준2인)","330,000 ~ 550,000",급여 및 포인트,"60,000 ~ 260,000 (+ 60 ~ 60)"
대전 유성구,"인터시티호텔_대전(구,스파피아)","더블(기준2인외입실불가), 트윈(기준2인외입실불가), 패밀리(기준3인외입실불가)","147,000 ~ 300,000",급여 및 포인트,"20,000 ~ 50,000 (+ 30 ~ 50)"
보령시,무창포 비체팰리스,"27A(기준4인외입실불가), 27S스위트(기준4인외입실불가), 36A(기준6인), 36S스위트(기준6인)","90,000 ~ 450,000",급여 및 포인트,"0 ~ 160,000 (+ 10 ~ 60)"
보령시,한화리조트_대천,디럭스(기준4인),"210,000 ~ 360,000",급여 및 포인트,"40,000 ~ 70,000 (+ 40 ~ 60)"
보령시,호텔마스타대천,"스탠다드더블(기준2인외입실불가), 패밀리디럭스(기준2인)","110,000 ~ 320,000",급여 및 포인트,"20,000 ~ 60,000 (+ 30 ~ 60)"
부여군,부여 롯데리조트,"패밀리23평(기준4인외입실불가), 스위트31평(기준4인)","283,000 ~ 552,000",급여 및 포인트,"50,000 ~ 262,000 (+ 50 ~ 60)"
부여군,파크아트빌라스_부여,"17평(기준2인), 26평(기준3인), 28평(기준4인), 30평(기준5인)","200,000 ~ 600,000",급여 및 포인트,"40,000 ~ 310,000 (+ 40 ~ 60)"
세종시,베스트웨스턴플러스호텔_세종,"스탠다드더블(기준2인외입실불가), 스탠다드트윈(기준2인외입실불가)","155,000 ~ 310,000",급여 및 포인트,"35,000 ~ 60,000 (+ 35 ~ 60)"
아산시,온양관광호텔,"더블(기준2인), 트윈(기준2인), 온돌방(기준2인)","115,000 ~ 200,000",급여 및 포인트,"20,000 ~ 35,000 (+ 30 ~ 35)"
예산군,스파뷰호텔_덕산,"스탠다드더블(기준2인), 한실(기준4인), 한실(기준6인)","120,000 ~ 420,000",급여 및 포인트,"20,000 ~ 130,000 (+ 30 ~ 60)"
예산군,스플라스리솜_덕산,"S25콘도(기준5인), S25클린B(기준4인), S30콘도(기준5인), S30클린A(기준4인)","297,000 ~ 480,000",급여 및 포인트,"50,000 ~ 190,000 (+ 50 ~ 60)"
제천시,레스트리리솜_제천,"S20클린(기준2인), S30클린(기준5인), G40클린(기준5인)","380,000 ~ 800,000",급여 및 포인트,"90,000 ~ 510,000 (+ 60 ~ 60)"
제천시,청풍블루밍데이즈,"18평(최대5인), 22평(최대6인), 13평(최대3인)","143,000 ~ 330,000",급여 및 포인트,"20,000 ~ 60,000 (+ 30 ~ 60)"
제천시,클럽E.S리조트_제천,"패밀리(기준5인), 로얄(기준6인)","300,000 ~ 400,000",급여 및 포인트,"60,000 ~ 110,000 (+ 60 ~ 60)"
제천시,포레스트리솜_제천,"S25클린(기준5인), S30클린(기준5인)","370,000 ~ 850,000",급여 및 포인트,"80,000 ~ 560,000 (+ 60 ~ 60)"
천안시,라마다 앙코르 바이 윈덤_천안,"더블(기준2인외입실불가), 트윈(기준2인외입실불가)","129,000 ~ 250,000",급여 및 포인트,"20,000 ~ 40,000 (+ 30 ~ 40)"
천안시,신라스테이호텔_천안,"더블(기준2인), 트윈(기준2인)","140,000 ~ 285,000",급여 및 포인트,"20,000 ~ 50,000 (+ 30 ~ 50)"
청주시 청원구,엔포드호텔 (구.그랜드플라자호텔_청주),"더블(기준2인외입실불가), 트윈(기준2인외입실불가)","200,000 ~ 280,000",급여 및 포인트,"40,000 ~ 50,000 (+ 40 ~ 50)"
충주시,라마다 바이 윈덤_수안보,"스탠다드더블(기준2인외입실불가), 스탠다드트윈(기준2인외입실불가), 디럭스트윈(기준2인), 디럭스온돌(기준2인), 디럭스쿼드러플(기준2인)","80,000 ~ 300,000",급여 및 포인트,"15,000 ~ 50,000 (+ 15 ~ 50)"
충주시,수안보파크호텔,"더블(기준2인), 트윈(기준2인), 온돌방(기준2인)","139,000 ~ 269,000",급여 및 포인트,"20,000 ~ 50,000 (+ 30 ~ 50)"
태안군,레이크파크,"18평(기준4인), 22평(기준6인)","158,000 ~ 242,000",급여 및 포인트,"35,000 ~ 40,000 (+ 35 ~ 40)"
태안군,아일랜드리솜_안면도,"S20(기준2인), S25(기준5인), S30(기준5인)","300,000 ~ 1,000,000",급여 및 포인트,"60,000 ~ 710,000 (+ 60 ~ 60)"
태안군,청포대 썬셋,"15평(기준2인), 18평(기준3인), 20평(기준4인), 30평(기준6인), 25평(기준5인)","165,000 ~ 440,000",급여 및 포인트,"35,000 ~ 150,000 (+ 35 ~ 60)"
