지역,콘도명,룸타입/평형,최근 1년간 확정금액 (min~max),공제방법,본인부담금 (min~max)
가평군,W지우리조트_가평,"로얄듀플렉스(기준4인외입실불가), 슈페리어더블(기준4인외입실불가), 프리미어풀스위트(기준3인외입실불가)","320,000 ~ 550,000",급여 및 포인트,"60,000 ~ 260,000 (+ 60 ~ 60)"
가평군,마이다스호텔&리조트,"더블(기준2인외입실불가), 트윈(기준2인), 프리미어듀플렉스(기준2인)","210,000 ~ 420,000",급여 및 포인트,"40,000 ~ 130,000 (+ 40 ~ 60)"
광명시,라까사호텔_광명,"라까사더블(기준2인외입실불가), 디럭스트윈(기준3인외입실불가), 라까사트윈(기준2인외입실불가)","175,000 ~ 300,000",급여 및 포인트,"35,000 ~ 50,000 (+ 35 ~ 50)"
김포시,라마다앙코르_김포,"더블(기준2인외입실불가), 트윈(기준2인외입실불가), 패밀리트윈(기준2인)","102,000 ~ 262,000",급여 및 포인트,"20,000 ~ 50,000 (+ 30 ~ 50)"
김포시,호텔 마리나베이 코리아(구.서울아라),"디럭스더블(기준2인외입실불가), 디럭스트윈(기준2인외입실불가), 디럭스패밀리트윈(기준3인외입실불가), 프리미어더블(기준2인외입실불가), 프리미어트윈(기준2인외입실불가), 프리미어패밀리트윈(기준3인외입실불가)","100,000 ~ 240,000",급여 및 포인트,"20,000 ~ 40,000 (+ 30 ~ 40)"
성남시 분당구,그래비티판교 오토그래프컬렉션,"디럭스킹(기준2인), 디럭스패밀리(기준2인)","265,000 ~ 500,000",급여 및 포인트,"50,000 ~ 210,000 (+ 50 ~ 60)"
성남시 분당구,더블트리바이힐튼 서울판교,"더블(기준2인), 트윈(기준2인)","300,000 ~ 550,000",급여 및 포인트,"60,000 ~ 260,000 (+ 60 ~ 60)"
성남시 수정구,나인트리 바이 파르나스_서울 판교,"더블(기준2인외 입실불가), 트윈(기준2인외 입실불가)","186,000 ~ 350,000",급여 및 포인트,"35,000 ~ 60,000 (+ 35 ~ 60)"
수원시 팔달구,라마다프라자_수원,"디럭스더블(기준2인외입실불가), 디럭스트윈(기준2인외입실불가)","179,000 ~ 300,000",급여 및 포인트,"35,000 ~ 50,000 (+ 35 ~ 50)"
시흥시,웨이브엠 호텔 웨스트_시흥,"오션웨이브 더블(기준2인외입실불가), 오션웨이브 트윈(기준2인외입실불가), 오션웨이브 프리미엄트윈(기준3인외입실불가)","130,000 ~ 450,000",급여 및 포인트,"20,000 ~ 160,000 (+ 30 ~ 60)"
안산시 단원구,더헤븐 리조트_안산,"스위트 (기준4인외입실불가), 로얄스위트 (기준4인외입실불가)","524,000 ~ 1,200,000",급여 및 포인트,"234,000 ~ 910,000 (+ 60 ~ 60)"
양평군,더스타휴골프&리조트,스위트(기준4인),"280,000 ~ 476,000",급여 및 포인트,"50,000 ~ 186,000 (+ 50 ~ 60)"
양평군,블룸비스타_양평,"스탠다드 트윈(기준2인외 입실 불가), 디럭스 트윈(기준2인), 패밀리 트윈(기준3인)","149,000 ~ 330,000",급여 및 포인트,"20,000 ~ 60,000 (+ 30 ~ 60)"
양평군,소노벨 양평 (구 대명 소노휴),"패밀리(기준4인), 스위트(기준5인)","115,000 ~ 198,000",현지직불,"115,000 ~ 198,000"
여주군,여주 썬밸리호텔,"더블(기준2인외입실불가), 트윈(기준2인외입실불가), 패밀리트윈(기준2인), 온돌(기준2인)","181,000 ~ 380,000",급여 및 포인트,"35,000 ~ 90,000 (+ 35 ~ 60)"
여주군,일성콘도_남한강,"25평(기준4인), 27평(기준5인)","120,000 ~ 250,000",급여 및 포인트,"20,000 ~ 40,000 (+ 30 ~ 40)"
연천군,백학자유로리조트,"스위트 25평(4인외입실불가), 로얄스위트 35평(6인외입실불가)","188,000 ~ 400,000",급여 및 포인트,"35,000 ~ 110,000 (+ 35 ~ 60)"
용인시,한화리조트_용인,디럭스(기준4인),"220,000 ~ 440,000",급여 및 포인트,"40,000 ~ 150,000 (+ 40 ~ 60)"
용인시,호텔더숨포레스트_용인,"디럭스(기준2인), 슈페리어(기준2인), 듀플렉스(기준4인)","192,000 ~ 351,000",급여 및 포인트,"35,000 ~ 61,000 (+ 35 ~ 60)"
의정부시,아일랜드 캐슬 호텔_의정부,"더블(기준2인외입실불가), 디럭스트윈(기준2인)","160,000 ~ 370,000",급여 및 포인트,"35,000 ~ 80,000 (+ 35 ~ 60)"
이천시,에덴 파라다이스호텔,슈페리어트윈(기준2인외입실불가),"203,000 ~ 300,000",급여 및 포인트,"40,000 ~ 50,000 (+ 40 ~ 50)"
