지역,콘도명,룸타입/평형,최근 1년간 확정금액 (min~max),공제방법,본인부담금 (min~max)
서귀포시,그랜드조선_제주,"더블가든(기준2인), 더블풀사이드(기준2인), 트윈풀사이드(기준2인)","450,000 ~ 850,000",급여 및 포인트,"160,000 ~ 560,000 (+ 60 ~ 60)"
서귀포시,금호리조트_제주,"스위트(기준5인), 패밀리(기준4인)","120,000 ~ 202,000",현지직불,"120,000 ~ 202,000"
서귀포시,기린빌라리조트_제주,"킹(기준4인), 패밀리(기준4인)","365,000 ~ 500,000",급여 및 포인트,"75,000 ~ 210,000 (+ 60 ~ 60)"
서귀포시,더 시에나 리조트_제주,비스타스위트+가든뷰(기준3인외입실불가),"605,000 ~ 1,500,000",급여 및 포인트,"315,000 ~ 1,210,000 (+ 60 ~ 60)"
서귀포시,더그랜드섬오름_본관,"패밀리더블(기준2인_뷰랜덤배정), 패밀리트윈(기준2인)","160,000 ~ 400,000",급여 및 포인트,"35,000 ~ 110,000 (+ 35 ~ 60)"
서귀포시,더그랜드섬오름_신관,"슈페리어더블(기준2인외입실불가), 슈페리어트윈(기준2인외입실불가), 디럭스트윈(기준2인_뷰랜덤배정), 디럭스더블(기준2인외입실불가)","147,000 ~ 450,000",급여 및 포인트,"20,000 ~ 160,000 (+ 30 ~ 60)"
서귀포시,더위호텔,"슈페리어(기준2인), 슈페리어+바다(기준2인)","280,000 ~ 368,000",급여 및 포인트,"0 ~ 78,000 (+ 10 ~ 60)"
서귀포시,더포그레이스호텔앤리조트,"슈페리어(기준2인), 디럭스킹(기준2인외입실불가), 디럭스트윈(기준2인)","50,000 ~ 270,000",급여 및 포인트,"15,000 ~ 50,000 (+ 15 ~ 50)"
서귀포시,롯데 아트빌라스_제주,"DA그룹A타입 63평(기준7인), 96평(기준8인), 도미니크페로 74평(기준6인), 이종호 74평(기준7인), 켄고쿠마 74평(기준4인), 켄고쿠마 63평(기준4인), DA그룹B타입 63평(기준6인)","660,000 ~ 1,600,000",급여 및 포인트,"370,000 ~ 1,310,000 (+ 60 ~ 60)"
서귀포시,롯데호텔_제주,"더블(기준2인), 트윈(기준2인), 온돌방(기준2인)","490,000 ~ 850,000",급여 및 포인트,"200,000 ~ 560,000 (+ 60 ~ 60)"
서귀포시,루체빌리조트,디럭스온돌(기준3인),"120,000 ~ 200,000",급여 및 포인트,"20,000 ~ 35,000 (+ 30 ~ 35)"
서귀포시,머큐어 앰배서더_제주,"디럭스 트윈(기준2인), 팔러트윈(기준2인)","250,000 ~ 480,000",급여 및 포인트,"50,000 ~ 190,000 (+ 50 ~ 60)"
서귀포시,메리어트호텔_제주신화월드,"프리미어 킹(기준2인외입실불가), 프리미어 트윈(기준2인외입실불가), 프리미어 패밀리트윈(기준2인)","285,000 ~ 720,000",급여 및 포인트,"50,000 ~ 430,000 (+ 50 ~ 60)"
서귀포시,서귀포 월드컵리조트(구.폴에이리조트),"17평형(기준2인), 27평형(기준4인)","88,000 ~ 160,000",급여 및 포인트,"15,000 ~ 35,000 (+ 15 ~ 35)"
서귀포시,서귀포KAL 호텔,"더블(기준2인), 트윈(기준2인), 온돌방(기준2인)","125,000 ~ 335,000",급여 및 포인트,"20,000 ~ 60,000 (+ 30 ~ 60)"
서귀포시,서머셋리조트_제주신화월드,패밀리스위트(기준5인),"420,000 ~ 750,000",급여 및 포인트,"130,000 ~ 460,000 (+ 60 ~ 60)"
서귀포시,소노캄 제주,"슈페리어(기준4인), 스위트(기준5인)","144,000 ~ 308,000",현지직불,"144,000 ~ 308,000"
서귀포시,스위트호텔_제주,"더블(기준2인), 트윈(기준2인), 온돌방(기준2인)","258,000 ~ 330,000",급여 및 포인트,"50,000 ~ 60,000 (+ 50 ~ 60)"
서귀포시,신화관 제주신화월드 호텔 앤 리조트,"슈페리어더블(기준2인외입실불가), 슈페리어트윈(기준2인외입실불가), 디럭스패밀리트윈(기준2인)","350,000 ~ 730,000",급여 및 포인트,"60,000 ~ 440,000 (+ 60 ~ 60)"
서귀포시,씨오르리조트 (구 신성리조트),"17평형(기준2인), 24평형(기준3인), 32평형(기준4인)","116,000 ~ 400,000",급여 및 포인트,"20,000 ~ 110,000 (+ 30 ~ 60)"
서귀포시,야크마을,"리빙(기준3인), 가든(기준4인), 풀(기준6인)","350,000 ~ 1,200,000",급여 및 포인트,"60,000 ~ 910,000 (+ 60 ~ 60)"
