지역,콘도명,룸타입/평형,최근 1년간 확정금액 (min~max),공제방법,본인부담금 (min~max)
고창군,상하농원 파머스빌리지,"테라스룸(기준2인), 패밀리룸(기준3인), 온돌룸(기준2인)","260,000 ~ 580,000",급여 및 포인트,"50,000 ~ 290,000 (+ 50 ~ 60)"
고창군,웰파크호텔_고창,"스탠다드더블(기준2인), 스탠다드트윈(기준2인외입실불가)","110,000 ~ 250,000",급여 및 포인트,"20,000 ~ 40,000 (+ 30 ~ 40)"
고흥군,고흥 썬밸리리조트,"스탠다드(기준4인외입실불가), 스페셜(기준4인외입실불가), 스위트(기준5인)","150,000 ~ 360,000",급여 및 포인트,"35,000 ~ 70,000 (+ 35 ~ 60)"
광양시,호텔락희 광양,"스탠다드더블(기준2인외입실불가), 스탠다드트윈(기준2인외입실불가), 디럭스더블(기준2인), 디럭스패밀리더블(기준4인)","135,000 ~ 370,000",급여 및 포인트,"20,000 ~ 80,000 (+ 30 ~ 60)"
광주 동구,L7호텔_충장(구. 라마다플라자 충장),"더블(기준2인외입실불가), 패밀리트윈(기준3인외입실불가)","150,000 ~ 220,000",급여 및 포인트,"35,000 ~ 40,000 (+ 35 ~ 40)"
광주 서구,홀리데이 인_광주,"더블(기준2인), 트윈(기준2인)","160,000 ~ 260,000",급여 및 포인트,"35,000 ~ 50,000 (+ 35 ~ 50)"
구례군,THE K 지리산가족호텔,"17평(기준2인외입실불가), 20평(기준4인외입실불가)","159,000 ~ 400,000",급여 및 포인트,"35,000 ~ 110,000 (+ 35 ~ 60)"
군산시,라마다호텔_군산,"더블(기준2인외입실불가), 트윈(기준2인외입실불가), 패밀리트윈(기준2인), 온돌(기준2인)","125,000 ~ 350,000",급여 및 포인트,"20,000 ~ 60,000 (+ 30 ~ 60)"
군산시,베스트웨스턴호텔_군산,"더블(기준2인외입실불가), 트윈(기준2인외입실불가)","138,000 ~ 350,000",급여 및 포인트,"20,000 ~ 60,000 (+ 30 ~ 60)"
군산시,에이본호텔_군산,"더블(기준2인외입실불가), 트윈(기준2인외입실불가)","175,000 ~ 250,000",급여 및 포인트,"35,000 ~ 40,000 (+ 35 ~ 40)"
나주시,중흥골드리조트,"19평(기준2인), 28평(기준4인)","159,000 ~ 350,000",급여 및 포인트,"35,000 ~ 60,000 (+ 35 ~ 60)"
남원시,스위트호텔_남원,"패밀리(기준4인), 트윈(기준2인)","145,000 ~ 490,000",급여 및 포인트,"20,000 ~ 200,000 (+ 30 ~ 60)"
남원시,오헤브데이호텔_남원,"디럭스(기준2인외입실불가), 디럭스트윈(기준3인외입실불가)","125,000 ~ 385,000",급여 및 포인트,"20,000 ~ 95,000 (+ 30 ~ 60)"
남원시,켄싱턴리조트_남원,"디럭스(25평/기준4인), 프리미어(25평/기준4인)","185,000 ~ 350,000",급여 및 포인트,"35,000 ~ 60,000 (+ 35 ~ 60)"
담양군,담양리조트,"한실(기준4인), 양실(기준3인외입실불가)","360,000 ~ 485,000",급여 및 포인트,"70,000 ~ 195,000 (+ 60 ~ 60)"
